Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
41,Specialty Industrial Machinery,Industrials,62,65,61,54,"GEV,ETN,PH,EMR,CMI,ITW,AME,ROK,SYM,OTIS,XYL,IR,DOV,PNR,ITT,NDSN,GGG,IEX,CR,DCI,RRX,AOS,WTS,FLS,GTLS,GNRC,JBTM,MIDD,MIR,GTES,SMR,CSW,NPO,FELE,MWA,KAI,SXI,CXT,ATS,HI,EPAC,HLIO,NNE,AMSC,PSIX,TNC,GRC,THR,SERV,BW,GHM,KRNT,LXFR,SHMD,OFLX,PKOH,TWIN,TAYD,HUHU,HURC"
42,Thermal Coal,Energy,62,54,39,68,"CNR,BTU,ARLP,NRP,HNRG,NC"
43,Capital Markets,Financial Services,61,50,49,53,"SLNHP,MS,GS,SCHW,IBKR,HOOD,LPLA,NMR,FUTU,TW,CRCL,IREN,EVR,BMNR,SF,HLI,JEF,FIGR,GLXY,XP,PJT,VIRT,CIFR,MKTX,HUT,PIPR,RIOT,MC,SNEX,WULF,LAZ,BGC,MARA,MIAX,CLSK,MRX,ETOR,TIGR,PWP,GEMI,GOLD,OPY,FRGE,BRBI,SRL,NCTY,ZBAI,COHN,ABTS"
44,REIT - Healthcare Facilities,Real Estate,61,41,68,61,"WELL,NHPAP,NHPBP,VTR,OHI,DOC,AHR,CTRE,HR,SBRA,NHI,MPW,LTC,DHC,SILA,GMRE,STRW,UHT,CHCT"
45,Communication Equipment,Technology,60,48,48,59,"CSCO,MSI,NOK,ASTS,UI,CIEN,ERIC,HPE,LITE,ZBRA,ONDS,VSAT,BDC,COMM,VIAV,AAOI,EXTR,DGII,TSAT,GILT,HLIT,ADTN,NTGR,FEIM,CLFD,BKTI,AVNW,AUDC,LTRX,CMTL,INSG,SILC,BOSC,CLRO,WATT"
46,Drug Manufacturers - General,Healthcare,60,64,53,59,"LLY,JNJ,ABBV,AZN,MRK,NVS,NVO,AMGN,GILD,PFE,SNY,BMY,GSK,BIIB,GRFS,OGN,AMRN,SCLX,NSRX"
47,Oil & Gas Refining & Marketing,Energy,59,49,52,47,"VLO,PSX,MPC,SUN,DINO,IEP,PBF,DKL,CVI,PARR,DK,WKC,CAPL,SGU"
48,Pollution & Treatment Controls,Industrials,59,60,26,56,"VLTO,ZWS,FSS,CECO,PCT,ERII,ADUR"
49,Discount Stores,Consumer Defensive,59,61,71,55,"WMT,COST,TGT,DG,DLTR,BJ,OLLI,PSMT,TBBB"
50,Publishing,Communication Services,58,78,65,59,"NYT,PSO,WLY,TDAY,SCHL"
